date,checkpoint_sec,mins_left,BS,LL,ACC,model,run_id,eval_type,saved_at
2026-02-04,2400,40,0.17438209470588237,0.5650488087417185,0.7647058823529411,hierarchical,20260425_033800,sliding,2026-04-25T03:38:00.731652
2026-02-04,1800,30,0.20399060411764708,0.6425697297387533,0.7058823529411765,hierarchical,20260425_033800,sliding,2026-04-25T03:38:00.731652
2026-02-04,1200,20,0.21157470470588235,0.747113042788295,0.7647058823529411,hierarchical,20260425_033800,sliding,2026-04-25T03:38:00.731652
2026-02-04,600,10,0.1704061035294706,0.866261104005638,0.8235294117647058,hierarchical,20260425_033800,sliding,2026-04-25T03:38:00.731652
2026-02-04,120,2,0.2199553429415294,1.9528633251678555,0.7647058823529411,hierarchical,20260425_033800,sliding,2026-04-25T03:38:00.731652
2026-02-24,3000,50,0.20018011766233765,0.5896009434351634,0.7012987012987013,hierarchical,20260425_033800,sliding,2026-04-25T03:38:00.731652
2026-02-24,2400,40,0.1718022701948052,0.5211895125044582,0.7857142857142857,hierarchical,20260425_033800,sliding,2026-04-25T03:38:00.731652
2026-02-24,1800,30,0.14461466461038963,0.4624832912390375,0.8246753246753247,hierarchical,20260425_033800,sliding,2026-04-25T03:38:00.731652
2026-02-24,1200,20,0.16211510512987012,0.5177932517954922,0.7857142857142857,hierarchical,20260425_033800,sliding,2026-04-25T03:38:00.731652
2026-02-24,600,10,0.17489775525977921,0.5706313441525565,0.7662337662337663,hierarchical,20260425_033800,sliding,2026-04-25T03:38:00.731652
2026-02-24,120,2,0.214984518766474,1.035723550012022,0.7662337662337663,hierarchical,20260425_033800,sliding,2026-04-25T03:38:00.731652
2026-03-16,3000,50,0.20065309905660378,0.5841066087437582,0.7232704402515723,hierarchical,20260425_033800,sliding,2026-04-25T03:38:00.731652
2026-03-16,2400,40,0.16305671553459117,0.492761361684356,0.7735849056603774,hierarchical,20260425_033800,sliding,2026-04-25T03:38:00.731652
2026-03-16,1800,30,0.1629952983018868,0.509429040455274,0.779874213836478,hierarchical,20260425_033800,sliding,2026-04-25T03:38:00.731652
2026-03-16,1200,20,0.19228305528302517,0.6157219267351391,0.7169811320754716,hierarchical,20260425_033800,sliding,2026-04-25T03:38:00.731652
2026-03-16,600,10,0.19045116628936476,0.7400692329437563,0.7735849056603774,hierarchical,20260425_033800,sliding,2026-04-25T03:38:00.731652
2026-03-16,120,2,0.1976422674845283,1.369356075557546,0.7924528301886793,hierarchical,20260425_033800,sliding,2026-04-25T03:38:00.731652
2026-04-05,3000,50,0.1910314737362637,0.5603159205252428,0.6923076923076923,hierarchical,20260425_033800,sliding,2026-04-25T03:38:00.731652
2026-04-05,2400,40,0.17262488274725277,0.518701489858572,0.7802197802197802,hierarchical,20260425_033800,sliding,2026-04-25T03:38:00.731652
2026-04-05,1800,30,0.16660157384615384,0.511783366536952,0.7802197802197802,hierarchical,20260425_033800,sliding,2026-04-25T03:38:00.731652
2026-04-05,1200,20,0.17697033582417582,0.5833516624118253,0.7802197802197802,hierarchical,20260425_033800,sliding,2026-04-25T03:38:00.731652
2026-04-05,600,10,0.19265265307697804,0.8606192773825686,0.7692307692307693,hierarchical,20260425_033800,sliding,2026-04-25T03:38:00.731652
2026-04-05,120,2,0.23598506835198896,1.5498586256392703,0.7472527472527473,hierarchical,20260425_033800,sliding,2026-04-25T03:38:00.731652
